seller-sku	asin1	item-name	item-description	listing-id	price	quantity	open-date	product-id-type	item-note	product-id
GB-103684-20-White	B07LF9FWTB	Funny Yorkie Coffee Mug Life Is Better With A Yorkie Mom Gift For Yorkie Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR YORKIE LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Yorkie Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Yorkie lover’s friends will actually use and enjoy for years to come, then check out this Yorkie Coffee mug! </br>	1217UT0XEDW	14.95	100	2018-12-17 11:10:33 PST	1		B07LF9FWTB
GB-110756-20-Black	B07LFJQZJB	Funny Chihuahua Coffee Mug Love Is Four Legged Word Chihuahua Mom Gift For Chihuahua Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR CHIHUAHUA LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Chihuahua Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Chihuahua lover’s friends will actually use and enjoy for years to come, then check out this Chihuahua Coffee mug! </br>	1217UT52IXI	16.95	100	2018-12-17 08:48:29 PST	1		B07LFJQZJB
GB-110756-20-White	B07LFJYMN5	Funny Chihuahua Coffee Mug Love Is Four Legged Word Chihuahua Mom Gift For Chihuahua Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR CHIHUAHUA LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Chihuahua Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Chihuahua lover’s friends will actually use and enjoy for years to come, then check out this Chihuahua Coffee mug! </br>	1217UT4UMI8	14.95	100	2018-12-17 08:46:31 PST	1		B07LFJYMN5
GB-132479-20-Black	B07LFJHRL3	Funny Chihuahua Coffee Mug Chihuahua Lover Chihuahua Mom Gift For Chihuahua Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR CHIHUAHUA LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Chihuahua Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Chihuahua lover’s friends will actually use and enjoy for years to come, then check out this Chihuahua Coffee mug! </br>	1217USZFGOL	15.95	100	2018-12-17 07:20:18 PST	1		B07LFJHRL3
GB-132479-20-White	B07LFJBQHH	Funny Chihuahua Coffee Mug Chihuahua Lover Chihuahua Mom Gift For Chihuahua Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR CHIHUAHUA LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Chihuahua Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Chihuahua lover’s friends will actually use and enjoy for years to come, then check out this Chihuahua Coffee mug! </br>	1217USZM9MW	17.95	100	2018-12-17 07:18:26 PST	1		B07LFJBQHH
GB-134727-20-Black	B07LFKLT97	Funny Chihuahua Coffee Mug Colorful Chihuahua Mama Mug Chihuahua Mom Gift For Chihuahua Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR CHIHUAHUA LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Chihuahua Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Chihuahua lover’s friends will actually use and enjoy for years to come, then check out this Chihuahua Coffee mug! </br>	1217USY0LXM	15.95	100	2018-12-17 07:12:20 PST	1		B07LFKLT97
GB-134727-20-White	B07LFH9726	Funny Chihuahua Coffee Mug Colorful Chihuahua Mama Mug Chihuahua Mom Gift For Chihuahua Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR CHIHUAHUA LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Chihuahua Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Chihuahua lover’s friends will actually use and enjoy for years to come, then check out this Chihuahua Coffee mug! </br>	1217USYGMTX	14.95	100	2018-12-17 07:14:20 PST	1		B07LFH9726
GB-134734-20-Black	B07LFK5PND	Funny Chihuahua Coffee Mug In A Perfect World Every Dog Has a Home Chihuahua Mom Gift For Chihuahua Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR CHIHUAHUA LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Chihuahua Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Chihuahua lover’s friends will actually use and enjoy for years to come, then check out this Chihuahua Coffee mug! </br>	1217USYPHMA	16.95	100	2018-12-17 07:06:20 PST	1		B07LFK5PND
GB-134734-20-White	B07LFJ1GFD	Funny Chihuahua Coffee Mug In A Perfect World Every Dog Has a Home Chihuahua Mom Gift For Chihuahua Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR CHIHUAHUA LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Chihuahua Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Chihuahua lover’s friends will actually use and enjoy for years to come, then check out this Chihuahua Coffee mug! </br>	1217USY98HM	14.95	100	2018-12-17 07:08:22 PST	1		B07LFJ1GFD
GB-1360-20-White	B07LG1P197	Funny Rottweiler Coffee Mug Any Woman Can Be a Mother But It Takes Someone Special To Be a Rottweiler Mama Rottweiler Mom Gift For Rottweiler Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR ROTTWEILER LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Rottweiler Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Rottweiler lover’s friends will actually use and enjoy for years to come, then check out this Rottweiler Coffee mug! </br>	1218UU9TBGA	14.95	100	2018-12-18 00:12:30 PST	1		B07LG1P197
GB-1362-20-White	B07LG1S8LP	Funny Rottweiler Coffee Mug Proud Rottweiler Mama Rottweiler Mom Gift For Rottweiler Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR ROTTWEILER LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Rottweiler Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Rottweiler lover’s friends will actually use and enjoy for years to come, then check out this Rottweiler Coffee mug! </br>	1218UU9M3YC	14.95	100	2018-12-18 00:10:12 PST	1		B07LG1S8LP
GB-1402-20-White	B07LG39MFS	Funny Husky Coffee Mug Got Snow Husky Mom Gift For Husky Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR HUSKY LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Husky Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Husky lover’s friends will actually use and enjoy for years to come, then check out this Husky Coffee mug! </br>	1218UU8M8TE	14.95	100	2018-12-18 00:08:16 PST	1		B07LG39MFS
GB-151254-20-Black	B07LFGZZGK	Funny Chihuahua Coffee Mug Chihuahua Lover Chihuahua Mom Gift For Chihuahua Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR CHIHUAHUA LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Chihuahua Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Chihuahua lover’s friends will actually use and enjoy for years to come, then check out this Chihuahua Coffee mug! </br>	1217USVR4RF	15.95	100	2018-12-17 06:02:58 PST	1		B07LFGZZGK
GB-151254-20-White	B07LFGKFNH	Funny Chihuahua Coffee Mug Chihuahua Lover Chihuahua Mom Gift For Chihuahua Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR CHIHUAHUA LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Chihuahua Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Chihuahua lover’s friends will actually use and enjoy for years to come, then check out this Chihuahua Coffee mug! </br>	1217USUEFP8	14.95	100	2018-12-17 06:04:58 PST	1		B07LFGKFNH
GB-1517-20-White	B07LG1ZC6K	Funny Pitbull Coffee Mug Any Woman Can Be a Mother But It Takes Someone Special To Be a Pit Bull Mama Pitbull Mom Gift For Pitbull Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR PITBULL LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Pitbull Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Pitbull lover’s friends will actually use and enjoy for years to come, then check out this Pitbull Coffee mug! </br>	1218UU7FU54	14.95	100	2018-12-18 00:05:52 PST	1		B07LG1ZC6K
GB-1518-20-White	B07LG4H2H7	Funny Pitbull Coffee Mug Don't Judge My Pit Bull And I Won't Judge Your Kids Pitbull Mom Gift For Pitbull Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR PITBULL LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Pitbull Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Pitbull lover’s friends will actually use and enjoy for years to come, then check out this Pitbull Coffee mug! </br>	1218UU9SWXA	14.95	100	2018-12-18 00:03:52 PST	1		B07LG4H2H7
